source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_server_name,tls_ja3_hash,tls_cipher_suite_length,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len
192.168.64.11,185.14.30.57,24,55978,9001,0xc030,13,www.hg2mh7dkixrji5s4akq.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,29,60246,443,0xc030,13,www.lo2luruytwzjfkbvn.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,90,42380,443,0xc030,13,www.cnj2p.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,26,55936,9001,0xc030,13,www.qgshhuse3rtga4v.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,99,42334,443,0xc030,13,www.yj6ed22ibplcd27nheg6zw.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,71,56010,9001,0xc030,13,www.tyeev232d3wre.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,54,42410,443,0xc030,13,www.ttga74e6fi7uhgl7ijk7ojxd.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,25,60042,443,0xc030,13,www.m3j6zic.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,61,55782,9001,0xc030,13,www.xih7pnsqiw4rdiolqj.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,54,42182,443,0xc030,13,www.scbdy5mi4o3odvynnhehfmemc.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
