stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
359,192.168.64.11,13.224.245.62,23,33912,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
364,192.168.64.11,13.224.245.62,25,33922,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
363,192.168.64.11,13.224.245.62,21,33920,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
362,192.168.64.11,13.224.245.62,18,33918,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
361,192.168.64.11,13.224.245.62,10,33916,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
365,192.168.64.11,104.16.149.64,18,39724,443,0x0304,0x304,cdn.cookielaw.org,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
366,192.168.64.11,142.250.187.234,14,42696,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,52,02aa4679df284f240695da144b70c288
368,192.168.64.11,13.224.245.62,9,33930,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
369,192.168.64.11,13.224.245.62,15,33932,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
371,192.168.64.11,13.224.245.62,8,33936,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
367,192.168.64.11,54.231.228.129,15,38004,443,0x0303,0x304,pocket-syndicated-publisher-logos.s3.amazonaws.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4953,2021-12-15 00:00:00 (UTC),2022-12-03 23:59:59 (UTC),19,579ccef312d18482fc42e2b822ca2430
370,192.168.64.11,54.231.228.129,20,38010,443,0x0303,0x304,pocket-syndicated-images.s3.amazonaws.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4953,2021-12-15 00:00:00 (UTC),2022-12-03 23:59:59 (UTC),19,579ccef312d18482fc42e2b822ca2430
372,192.168.64.11,34.120.195.249,14,43582,443,0x0304,0x304,o28549.ingest.sentry.io,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
375,192.168.64.11,138.199.37.227,17,33162,443,0x0304,0x304,a.omappapi.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
