stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,label
129,192.168.64.11,82.65.58.162,106,37066,9001,0x0304,0x304,www.xa33wnbhasumnll3finw.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
130,192.168.64.11,192.99.152.50,51,57434,9001,0x0304,0x304,www.vle2b.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
131,192.168.64.11,192.99.152.50,78,57166,9001,0x0304,0x304,www.adnlimhextceidu.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
132,192.168.64.11,82.65.58.162,33,36814,9001,0x0304,0x304,www.dybp5mnzy6lxxs77ayzxn.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
133,192.168.64.11,82.65.58.162,133,37510,9001,0x0304,0x304,www.mdyswx476xp.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
134,192.168.64.11,192.99.152.50,36,57890,9001,0x0304,0x304,www.j5em5aitbgauayz.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
135,192.168.64.11,82.65.58.162,87,36916,9001,0x0304,0x304,www.uwetalwt5ueee.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
136,192.168.64.11,192.99.152.50,23,57286,9001,0x0304,0x304,www.en3xowmdirdsthfo.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
137,192.168.64.11,82.65.58.162,89,37472,9001,0x0304,0x304,www.lapixnf.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
138,192.168.64.11,192.99.152.50,68,57838,9001,0x0304,0x304,www.2uxvp5qfw4ctadmni.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
