stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash
59,192.168.64.11,185.239.222.248,13,41652,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,592,2022-02-08 00:00:00 (UTC),2022-08-15 00:00:00 (UTC),www.ulkbkvp6te4xzyueuhp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.3u6h5yfapjqhy4xd7u.com,83d60721ecc423892660e275acc4dffd
60,192.168.64.11,104.217.250.206,19,56740,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2021-10-02 00:00:00 (UTC),2022-09-23 23:59:59 (UTC),www.jzqow2rec76kaxl.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.i6iubo23ydkpn6smgpegl.com,83d60721ecc423892660e275acc4dffd
61,192.168.64.11,185.239.222.248,38,41618,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,592,2022-02-08 00:00:00 (UTC),2022-08-15 00:00:00 (UTC),www.ulkbkvp6te4xzyueuhp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.6nead3xicd46oyg3eh4.com,83d60721ecc423892660e275acc4dffd
62,192.168.64.11,104.217.250.206,19,56704,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2021-10-02 00:00:00 (UTC),2022-09-23 23:59:59 (UTC),www.jzqow2rec76kaxl.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ourpncu2uia6jxei4.com,83d60721ecc423892660e275acc4dffd
63,192.168.64.11,81.179.123.62,13,37814,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,586,2022-01-25 00:00:00 (UTC),2023-01-15 23:59:59 (UTC),www.rxyggcfvqynlanb.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.puwjbnbt2wwwaa.com,83d60721ecc423892660e275acc4dffd
64,192.168.64.11,185.239.222.248,37,41554,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,592,2022-02-08 00:00:00 (UTC),2022-08-15 00:00:00 (UTC),www.ulkbkvp6te4xzyueuhp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.pgva7hlo4dcnddog.com,83d60721ecc423892660e275acc4dffd
65,192.168.64.11,81.179.123.62,20,37742,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,586,2022-01-25 00:00:00 (UTC),2023-01-15 23:59:59 (UTC),www.rxyggcfvqynlanb.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.zdtndfrayg7qq.com,83d60721ecc423892660e275acc4dffd
66,192.168.64.11,104.217.250.206,13,56644,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2021-10-02 00:00:00 (UTC),2022-09-23 23:59:59 (UTC),www.jzqow2rec76kaxl.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.kg7hrx.com,83d60721ecc423892660e275acc4dffd
68,77.246.159.165,192.168.64.11,4,443,55176,,,,,,,,,,,,,,,,,,,,,
67,192.168.64.11,23.250.14.98,42,44690,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.4aqwx4z3mek5p6pxewztq.com,83d60721ecc423892660e275acc4dffd
69,192.168.64.11,85.195.208.19,13,53842,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.bkpqzakgnii2.com,83d60721ecc423892660e275acc4dffd
70,192.168.64.11,158.69.207.216,13,48146,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.nunwic.com,83d60721ecc423892660e275acc4dffd
72,94.140.114.216,192.168.64.11,5,9002,48668,,,,,,,,,,,,,,,,,,,,,
74,192.168.64.11,51.15.78.0,37,52844,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,594,2022-06-29 00:00:00 (UTC),2022-07-26 23:59:59 (UTC),www.hxzbrlvxobluss7zobuq.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.xgk5sujr7dek26nu.com,83d60721ecc423892660e275acc4dffd
75,192.168.64.11,85.195.208.19,63,53588,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.jfodxu23mz7k6.com,83d60721ecc423892660e275acc4dffd
