,stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,TOR
279,324,192.168.64.11,142.250.179.238,14,55760,443,0x0304,0x304,www.google-analytics.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
280,326,192.168.64.11,142.250.187.228,22,47766,443,0x0304,0x304,www.google.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
281,325,192.168.64.11,216.35.221.71,10,42314,443,0x0303,0x304,api.npr.org,17.0,False,True,6.0,2.0,,0x009d,29.0,1.0,4.0,2.0,2841.0,2022-01-07 00:00:00 (UTC),2023-02-02 23:59:59 (UTC),5.0,579ccef312d18482fc42e2b822ca2430,0
282,327,192.168.64.11,34.149.226.120,18,40622,443,0x0304,0x304,abstractedauthority.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
283,328,192.168.64.11,13.224.245.120,18,36890,443,0x0304,0x304,rumcdn.geoedge.be,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
284,330,192.168.64.11,142.250.187.228,9,47772,443,0x0304,0x304,www.google.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
285,332,192.168.64.11,2.19.61.85,13,33984,443,0x0304,0x304,legacy.npr.org,17.0,False,True,6.0,2.0,29.0,0x1302,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
286,333,192.168.64.11,13.107.21.200,21,56942,443,0x0303,0x304,bat.bing.com,17.0,False,True,6.0,2.0,,0xc030,29.0,1.0,4.0,2.0,4800.0,2022-06-10 01:15:41 (UTC),2022-12-10 01:15:41 (UTC),26.0,579ccef312d18482fc42e2b822ca2430,0
287,335,192.168.64.11,142.250.187.234,12,42644,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,52.0,02aa4679df284f240695da144b70c288,0
288,336,192.168.64.11,142.250.200.35,26,52484,443,0x0304,0x304,www.gstatic.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
