stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
346,192.168.64.11,142.250.179.227,23,41138,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
347,192.168.64.11,142.250.179.227,9,41140,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
349,192.168.64.11,157.240.221.18,12,35560,443,0x0304,0x304,api.facebook.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
350,192.168.64.11,104.86.111.33,311,46060,443,0x0304,0x304,www.adidas.co.uk,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
351,192.168.64.11,142.250.187.234,12,42928,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,52,02aa4679df284f240695da144b70c288
357,192.168.64.11,2.19.61.69,79,47474,443,0x0304,0x304,brand.assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
356,192.168.64.11,2.19.61.69,10,47472,443,0x0304,0x304,brand.assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
355,192.168.64.11,2.19.61.69,11,47470,443,0x0304,0x304,brand.assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
354,192.168.64.11,2.19.61.69,10,47468,443,0x0304,0x304,brand.assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
353,192.168.64.11,2.19.61.69,11,47466,443,0x0304,0x304,brand.assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
352,192.168.64.11,2.19.61.69,10,47464,443,0x0304,0x304,brand.assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
358,192.168.64.11,104.16.204.22,7,46322,443,0x0304,0x304,eum.instana.io,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
361,192.168.64.11,2.22.12.126,15,60208,443,0x0304,0x304,adl-foundation.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
360,192.168.64.11,2.22.12.126,11,60206,443,0x0304,0x304,adl-foundation.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
359,192.168.64.11,2.22.12.126,10,60204,443,0x0304,0x304,adl-foundation.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
362,192.168.64.11,142.250.187.234,11,42950,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,52,02aa4679df284f240695da144b70c288
368,192.168.64.11,2.19.61.69,11,47496,443,0x0304,0x304,assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
367,192.168.64.11,2.19.61.69,11,47494,443,0x0304,0x304,assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
366,192.168.64.11,2.19.61.69,11,47492,443,0x0304,0x304,assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
365,192.168.64.11,2.19.61.69,11,47490,443,0x0304,0x304,assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
364,192.168.64.11,2.19.61.69,10,47488,443,0x0304,0x304,assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
363,192.168.64.11,2.19.61.69,11,47486,443,0x0304,0x304,assets.adidas.com,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
369,192.168.64.11,142.250.187.234,12,42964,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,52,02aa4679df284f240695da144b70c288
370,192.168.64.11,3.248.87.75,22,60174,443,0x0303,0x304,eum-eu-west-1.instana.io,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,2,2948,2021-11-09 00:00:00 (UTC),2022-12-10 23:59:59 (UTC),13,579ccef312d18482fc42e2b822ca2430
376,192.168.64.11,2.19.61.11,41,34776,443,0x0303,0x304,cmspreview-res.cloudinary.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,3,4146,2021-09-01 07:00:00 (UTC),2022-09-01 07:00:00 (UTC),34,579ccef312d18482fc42e2b822ca2430
375,192.168.64.11,2.19.61.11,11,34774,443,0x0303,0x304,cmspreview-res.cloudinary.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,3,4146,2021-09-01 07:00:00 (UTC),2022-09-01 07:00:00 (UTC),34,579ccef312d18482fc42e2b822ca2430
374,192.168.64.11,2.19.61.11,11,34772,443,0x0303,0x304,cmspreview-res.cloudinary.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,3,4146,2021-09-01 07:00:00 (UTC),2022-09-01 07:00:00 (UTC),34,579ccef312d18482fc42e2b822ca2430
373,192.168.64.11,2.19.61.11,11,34770,443,0x0303,0x304,cmspreview-res.cloudinary.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,3,4146,2021-09-01 07:00:00 (UTC),2022-09-01 07:00:00 (UTC),34,579ccef312d18482fc42e2b822ca2430
372,192.168.64.11,2.19.61.11,11,34768,443,0x0303,0x304,cmspreview-res.cloudinary.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,3,4146,2021-09-01 07:00:00 (UTC),2022-09-01 07:00:00 (UTC),34,579ccef312d18482fc42e2b822ca2430
371,192.168.64.11,2.19.61.11,11,34766,443,0x0303,0x304,cmspreview-res.cloudinary.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,3,4146,2021-09-01 07:00:00 (UTC),2022-09-01 07:00:00 (UTC),34,579ccef312d18482fc42e2b822ca2430
377,192.168.64.11,2.18.84.142,9,37642,443,0x0303,0x304,c.go-mpulse.net,17.0,False,True,6.0,2,,0xc02c,29,1,4.0,2,2470,2022-04-15 00:00:00 (UTC),2023-04-19 23:59:59 (UTC),40,579ccef312d18482fc42e2b822ca2430
378,192.168.64.11,2.18.84.142,5,37644,443,0x0303,0x304,c.go-mpulse.net,17.0,False,True,6.0,2,,0xc02c,29,1,4.0,2,2470,2022-04-15 00:00:00 (UTC),2023-04-19 23:59:59 (UTC),40,579ccef312d18482fc42e2b822ca2430
379,192.168.64.11,2.19.60.178,89,40106,443,0x0303,0x304,tags.tiqcdn.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,2985,2022-02-27 00:00:00 (UTC),2023-02-28 23:59:59 (UTC),34,579ccef312d18482fc42e2b822ca2430
