stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_supported_group_length
45,192.168.64.11,108.138.215.190,11,43678,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.imdb.com,579ccef312d18482fc42e2b822ca2430,6.0
44,192.168.64.11,188.65.124.66,11,59806,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1302,46,,,,,public-prod-dspcookiematching.dmxleo.com,579ccef312d18482fc42e2b822ca2430,6.0
43,192.168.64.11,3.95.82.78,8,50618,443,0x0303,0x304,17.0,False,False,4.0,4,4927,*.samplicio.us,1.2.840.113549.1.1.11,0xc02f,13,,,,65,usersync.samplicio.us,579ccef312d18482fc42e2b822ca2430,6.0
46,192.168.64.11,3.209.91.249,12,39742,443,0x0303,0x304,17.0,False,False,4.0,4,5046,*.samba.tv,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,ads.samba.tv,579ccef312d18482fc42e2b822ca2430,6.0
48,192.168.64.11,151.101.18.132,10,49058,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,pi.ispot.tv,579ccef312d18482fc42e2b822ca2430,6.0
47,192.168.64.11,45.79.145.203,8,58940,443,0x0303,0x304,17.0,False,False,4.0,4,5125,*.ninthdecimal.com,1.2.840.113549.1.1.11,0xc030,32,0x03,0x0017,65,65,lciapi.ninthdecimal.com,579ccef312d18482fc42e2b822ca2430,6.0
49,192.168.64.11,52.46.151.131,15,43256,443,0x0303,0x304,17.0,False,False,4.0,4,5002,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,s.amazon-adsystem.com,579ccef312d18482fc42e2b822ca2430,6.0
52,192.168.64.11,52.46.151.131,14,43262,443,0x0303,0x304,17.0,False,False,4.0,4,5002,,1.2.840.113549.1.1.11,0xc02f,21,,,,65,s.amazon-adsystem.com,579ccef312d18482fc42e2b822ca2430,6.0
53,192.168.64.11,13.32.172.117,11,39254,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,dr3fr5q4g2ul9.cloudfront.net,579ccef312d18482fc42e2b822ca2430,6.0
54,192.168.64.11,13.224.246.10,11,43970,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,d2ef20sk9hi1u3.cloudfront.net,579ccef312d18482fc42e2b822ca2430,6.0
55,192.168.64.11,52.46.151.131,10,43268,443,0x0303,0x304,17.0,False,False,4.0,4,5002,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,s.amazon-adsystem.com,579ccef312d18482fc42e2b822ca2430,6.0
58,192.168.64.11,104.18.19.126,14,52730,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,dsum-sec.casalemedia.com,579ccef312d18482fc42e2b822ca2430,6.0
60,192.168.64.11,2.18.85.33,15,40718,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1302,46,,,,,tags.bluekai.com,579ccef312d18482fc42e2b822ca2430,6.0
66,192.168.64.11,104.244.42.67,10,42390,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,analytics.twitter.com,579ccef312d18482fc42e2b822ca2430,6.0
57,192.168.64.11,35.156.83.159,10,49070,443,0x0303,0x304,17.0,False,False,4.0,2,2779,*.agkn.com,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,aa.agkn.com,579ccef312d18482fc42e2b822ca2430,6.0
64,192.168.64.11,154.54.250.150,9,45166,443,0x0303,0x304,17.0,False,False,4.0,3,3931,*.ads.stickyadstv.com,1.2.840.113549.1.1.11,0x0035,24,,,,,ads.stickyadstv.com,579ccef312d18482fc42e2b822ca2430,6.0
