stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_cipher_suite_length
77,192.168.64.11,104.22.24.87,11,56242,443,0x0304,,,,0x1301,46,,,,,mwzeom.zeotap.com,cd08e31494f9531f560d64c695473da9,
80,192.168.64.11,104.86.132.41,11,38046,443,0x0304,,,,0x1302,46,,,,,tags.bluekai.com,cd08e31494f9531f560d64c695473da9,
75,192.168.64.11,212.82.100.182,12,35194,443,0x0303,1771,,1.2.840.113549.1.1.11,0xc02f,38,,,,32,cms.analytics.yahoo.com,cd08e31494f9531f560d64c695473da9,
74,192.168.64.11,52.58.212.93,10,45796,443,0x0303,1597,*.bidswitch.net,1.2.840.113549.1.1.11,0xc02f,13,,,,65,x.bidswitch.net,cd08e31494f9531f560d64c695473da9,
73,192.168.64.11,18.156.126.13,9,49888,443,0x0303,1568,*.agkn.com,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,aa.agkn.com,cd08e31494f9531f560d64c695473da9,
81,192.168.64.11,154.57.158.26,8,43120,443,0x0303,1757,*.ads.stickyadstv.com,1.2.840.113549.1.1.11,0x0035,19,,,,,ads.stickyadstv.com,cd08e31494f9531f560d64c695473da9,
76,192.168.64.11,18.156.0.31,14,57578,443,0x0304,,,,0x1302,46,,,,,ups.analytics.yahoo.com,cd08e31494f9531f560d64c695473da9,
78,192.168.64.11,18.157.240.91,10,44022,443,0x0303,1691,*.myvisualiq.net,1.2.840.113549.1.1.11,0xc02f,13,,,,65,t.myvisualiq.net,cd08e31494f9531f560d64c695473da9,
79,192.168.64.11,3.230.192.196,13,34344,443,0x0303,1706,*.tremorhub.com,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,amazon.partners.tremorhub.com,cd08e31494f9531f560d64c695473da9,
83,192.168.64.11,108.138.215.190,12,41924,443,0x0304,,,,0x1301,46,,,,,www.imdb.com,cd08e31494f9531f560d64c695473da9,
